ID_Pesanan,Tanggal_Pemesanan,ID_Produk,Nama_Produk,Kategori,Bahan_Material,Warna_Finishing,Merek_Siri,Berat_Gram,Dimensi_Cm,Stok,Harga_Rupiah,Quantity
ORD-50001,2021-01-06,HW-003,Engsel Jahit,Engsel,Besi,Coklat Gelap,Maison Le Forge,104.7,13.5,141,32000,7
ORD-50003,2021-01-07,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,157.2,11.4,58,36000,7
ORD-50004,2021-01-07,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Hitam Matte,Atmobrass Jaya,222.6,13.3,50,34000,8
ORD-50005,2021-01-07,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,94.8,8.6,22,28000,8
ORD-50006,2021-01-14,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Coklat Gelap,Atmobrass Jaya,250.9,11.6,75,34000,3
ORD-50007,2021-01-18,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Berkilat (Chrome),Atmobrass Jaya,441.4,9.1,189,34000,6
ORD-50009,2021-01-19,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Heritage Series,104.9,9.6,60,25000,8
ORD-50009,2021-01-19,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,212.7,10.2,47,90000,6
ORD-50012,2021-01-22,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,198.7,15.0,166,47000,10
ORD-50012,2021-01-22,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,125.5,7.3,159,32000,6
ORD-50013,2021-01-22,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,265.6,13.9,11,57000,1
ORD-50014,2021-01-22,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Matte,Heritage Series,77.1,4.2,187,28000,10
ORD-50015,2021-01-24,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Hitam Matte,Atmobrass Jaya,127.7,15.0,166,47000,4
ORD-50016,2021-01-24,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,168.3,8.9,52,36000,9
ORD-50016,2021-01-24,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Emas Matte,Atmobrass Jaya,285.1,8.8,182,47000,5
ORD-50016,2021-01-24,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Perak Saten,Heritage Series,102.1,5.9,79,25000,3
ORD-50017,2021-01-26,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,22.9,5.1,140,48000,3
ORD-50022,2021-01-30,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,136.2,13.5,44,57000,10
